cluster	gene	log2fc	pval	padj	significant
1	ENSG00000126010.6	0.7222605549025995	1.2299744384235644e-29	2.0274524302927558e-27	True
1	ENSG00000286208.1	0.7170532972363528	2.0132946944691818e-26	2.212435800117764e-24	True
1	ENSG00000151892.15	0.7149377836677924	1.0727799040907278e-30	2.0209574218057004e-28	True
1	ENSG00000162891.10	0.7078650861863942	1.4384228213244514e-30	2.6602051323640617e-28	True
1	ENSG00000255774.2	0.7011213127380749	9.93317099460032e-28	1.2658532616228057e-25	True
2	ENSG00000249203.2	1.4200381558390887	3.6801807258418773e-34	2.0294523893597115e-30	True
2	ENSG00000120251.21	1.4054061583343231	6.885970344734517e-26	3.8321372579045486e-23	True
2	ENSG00000248779.1	1.3594279761071624	4.0470943048576254e-27	3.1075536776286526e-24	True
2	ENSG00000170099.6	1.2561279832410153	1.293375973285535e-22	3.2419911793182045e-20	True
2	ENSG00000228420.1	1.2468398899803614	1.0909837956439866e-38	1.446290202237955e-34	True
2	ENSG00000287048.1	1.1846961038945771	2.381997395198826e-40	7.224598099638038e-36	True
2	ENSG00000162989.5	1.1588180639020458	3.9598856536458124e-20	5.1104735070217924e-18	True
2	ENSG00000265369.3	1.1511794325502844	4.195481948553125e-40	8.48326449997442e-36	True
2	ENSG00000256612.7	1.0828161442787183	2.9992077270992566e-25	1.4103251219057434e-22	True
2	ENSG00000249599.2	1.072749927397298	7.587715994789432e-23	2.0180652329296563e-20	True
2	ENSG00000255974.8	1.0528203138425738	3.460012450682087e-17	2.2963277380566238e-15	True
2	ENSG00000153002.12	1.052060186958035	1.0575413225115982e-14	4.173744738032111e-13	True
2	ENSG00000164326.5	1.028787773513743	2.804732095371243e-17	1.898828670817183e-15	True
2	ENSG00000186910.4	1.026312772418103	1.1299408120950626e-29	1.9039502683801806e-26	True
2	ENSG00000188001.10	1.0199813702402976	4.763529852246409e-38	4.8159286806211195e-34	True
2	ENSG00000251141.6	1.010841157542053	6.715236089148326e-27	4.9077857972016556e-24	True
2	ENSG00000233041.8	1.005414193854147	1.006958482419012e-21	1.983185115049911e-19	True
2	ENSG00000170367.5	0.999486633949808	4.007570759503967e-15	1.7216660217529083e-13	True
2	ENSG00000114248.10	0.9527569396397906	1.862356710974281e-21	3.497540498071204e-19	True
2	ENSG00000269353.1	0.9506610726469307	2.0779216270577782e-21	3.8546399356980067e-19	True
3	ENSG00000196616.14	1.1487945349772284	1.7454536537715717e-59	5.948270709987839e-57	True
3	ENSG00000112936.19	1.1396177739360125	2.9531179558127806e-80	1.1942409013306885e-76	True
3	ENSG00000171199.11	1.1183139110025275	6.751083715421567e-54	1.4121404764740423e-51	True
3	ENSG00000119147.10	1.103143891429109	2.066689819713219e-80	9.643492651061835e-77	True
3	ENSG00000187288.12	1.0719878437184498	2.743499663318273e-52	5.104929128125351e-50	True
3	ENSG00000181092.10	1.0633782356778432	6.114106855728919e-47	7.824508900179668e-45	True
3	ENSG00000184811.4	1.0554189917266945	3.673116286458754e-50	5.910112306010292e-48	True
3	ENSG00000181234.9	1.0253599952561732	4.511094460025358e-80	1.710268687157114e-76	True
3	ENSG00000164530.15	1.0248477811935868	3.214673436519124e-56	8.62841109111726e-54	True
3	ENSG00000161649.13	1.0142110334229832	3.242520870355829e-73	3.933826319915691e-70	True
3	ENSG00000176194.18	1.0117193163182365	5.76712613937045e-51	9.717607544839208e-49	True
3	ENSG00000235687.9	0.9901033340089773	1.4436837079262604e-30	6.224154493447544e-29	True
3	ENSG00000134240.12	0.9895943043586248	8.77872716160028e-33	4.390087301093759e-31	True
